ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,Expanding Single Brackets,"Expand:
\[
-5(m-7)
\]",\( -5 m-35 \),Believes multiplying two negatives gives a negative answer,\( -5 m+35 \),1597
Convert percentages containing 1 decimal place to fractions,Converting between Fractions and Percentages,How do you write \( 0.5 \% \) as a fraction?,\( \frac{0.5}{100} \),Assumes decimal point can be ignored when given a decimal percentage to convert to a fraction,\( \frac{1}{200} \),1759
Solve problems involving subtracting a period of time from a given end time,Time,What time is \( 30 \) minutes before midday?,\( 11: 30 \),Confuses AM and PM when calculating time,11:30 am,17
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with a base length of 8cm and a perpendicular height of 5cm.](),\( 13 \mathrm{~cm}^{2} \),Adds when calculating area instead of multiplying,\( 40 \mathrm{~cm}^{2} \),828
"Solve one-step linear equations requiring addition or subtraction, with all positive integers",Linear Equations,"Solve the equation:
\[
12=t+5
\]",\( t=17 \),"When solving an equation, uses the same operation rather than the inverse.",\( t=7 \),1214
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,\( 0.6=\frac{3}{5}=? \% \),\( 0.6 \% \),Does not understand a percentage is out of 100,\( 60 \% \),329
Identify the order of rotational symmetry of a shape,Rotational Symmetry,![\( \nabla \)]() What is the order of rotational symmetry of this shape?,\( 1 \),Does not know how to find order of rotational symmetry,\( 3 \),2355
Find missing angles using alternate angles,Angle Facts with Parallel Lines,What is the size of angle \( x \) ? ![A diagram showing parallel lines and two transversals. Some angles are given and one is labelled x](),\( 110^{\circ} \),Thinks alternate angles are always equal,\( 70^{\circ} \),2156
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert \( \frac{7}{20} \) to a percentage,3.5%,Multiplies by 10 instead of 100 when converting decimal to percentage,35%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is \( 1 \) hour \( 15 \) minutes before 23:10?,22:10,"Does not subtract from the hours, when having to borrow for a time calculation",21:55,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"This table shows the number of pets a group of students owns.
What is the modal number of pets owned? \begin{tabular}{|c|c|}
\hline Number of pets & Frequency \\
\hline \( 0 \) & \( 9 \) \\
\hline \( 1 \) & \( 6 \) \\
\hline \( 2 \) & \( 3 \) \\
\hline \( 3 \) & \( 2 \) \\
\hline \( 4 \) & \( 3 \) \\
\hline
\end{tabular}",1,Believes the mode is the most common frequency rather than the highest frequency,0,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,"What is the area of this rectangle? ![A rectangle, 5cm by 12cm]()",65cm²,Adds instead of multiplies when calculating total frequency,60cm²,932
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,"The area of this trapezium is \( 30 \mathrm{~cm}^{2} \).

What is the value of \( a \) ? ![A trapezium with the parallel sides labelled with 3cm and a and the height labelled with 5cm]()",12cm,Does not divide by 2 when calculating the area of a trapezium,9cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for \( y=7 x+1 \) What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 15 \) \\
\end{tabular}]()",1,Mixes up the value of two terms when substituting,8,391
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert \( 0.2 \) to a percentage,2%,Does not understand a percentage is out of 100,20%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.7 to a percentage,7%,Multiplies by 10 instead of 100 when converting decimal to percentage,70%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 2 hours 20 minutes before 13:45?,11:45,"Does not subtract from the hours, when having to borrow for a time calculation",11:25,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below is a summary of the number of spots counted on 25 ladybirds. What is the modal number of spots per ladybird?  ![\begin{tabular}{|c|c|}
Number of spots\\ & Frequency 
\hline \( 5 \) & \( 4 \) \\
\hline \( 6 \) & \( 9 \) \\
\hline \( 7 \) & \( 9 \) \\
\hline \( 8 \) & \( 3 \) \\
\hline
\end{tabular}]()",5,Believes the mode is the most common frequency rather than the highest frequency,6 and 7,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 11cm and perpendicular height 8cm.](),19cm²,Adds when calculating area instead of multiplying,88cm²,828
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 1 hour 50 minutes to complete a journey from London to Brighton. If the train leaves London at 11:15, what time does it arrive in Brighton?",13:5,Does not adjust the hour for “to” times,13:05,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=7x+1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 15 \) \\
\end{tabular}]()",7,Mixes up the value of two terms when substituting,8,391
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A hexagonal shaped spinner with 6 equal sections labelled 1, 3, 3, 5, 5 and 5.]()",2,Does not understand that a probability of 1 represents something that is certain,3,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.2 to a percentage,0.2%,Does not understand a percentage is out of 100,20%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.09 to a percentage,0.9%,Multiplies by 10 instead of 100 when converting decimal to percentage,9%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 1 hour 40 minutes before 14:30?,13:40,"Does not subtract from the hours, when having to borrow for a time calculation",12:50,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 8 \\
\hline 1 & 10 \\
\hline 2 & 7 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",2,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 7cm and perpendicular height 12cm.](),19cm²,Adds when calculating area instead of multiplying,84cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=5x-2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 8 \) \\
\end{tabular}]()",5,Mixes up the value of two terms when substituting,3,391
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 5 equal sections labelled 1, 2, 3, 4 and 5.]()",1,Does not understand that a probability of 1 represents something that is certain,5,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.8 to a percentage,8%,Multiplies by 10 instead of 100 when converting decimal to percentage,80%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 3 hours 10 minutes before 18:00?,15:10,"Does not subtract from the hours, when having to borrow for a time calculation",14:50,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 5 \\
\hline 1 & 12 \\
\hline 2 & 7 \\
\hline 3 & 6 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 9cm and perpendicular height 11cm.](),19cm²,Adds when calculating area instead of multiplying,99cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=3x+4. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 10 \) \\
\end{tabular}]()",3,Mixes up the value of two terms when substituting,7,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A rectangle](),4,Does not know how to find order of rotational symmetry,2,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 4 equal sections labelled 1, 2, 3 and 4.]()",1,Does not understand that a probability of 1 represents something that is certain,4,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.3 to a percentage,3%,Does not understand a percentage is out of 100,30%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.1 to a percentage,1%,Multiplies by 10 instead of 100 when converting decimal to percentage,10%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 10 \\
\hline 2 & 4 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 10cm and perpendicular height 13cm.](),23cm²,Adds when calculating area instead of multiplying,130cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 70cm². What is the value of a? ![A trapezium with the parallel sides labelled with 10cm and a and the height labelled with 7cm](),20cm,Does not divide by 2 when calculating the area of a trapezium,10cm,2353
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 1 hour 30 minutes to complete a journey from London to Brighton. If the train leaves London at 12:00, what time does it arrive in Brighton?",13:00,Does not adjust the hour for “to” times,13:30,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=2x-1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 3 \) \\
\end{tabular}]()",2,Mixes up the value of two terms when substituting,1,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A square](),1,Does not know how to find order of rotational symmetry,4,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 8 equal sections labelled 1, 2, 3, 4, 5, 6, 7 and 8.]()",1,Does not understand that a probability of 1 represents something that is certain,8,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.65 to a percentage,6.5%,Does not understand a percentage is out of 100,65%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.25 to a percentage,2.5%,Multiplies by 10 instead of 100 when converting decimal to percentage,25%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 2 hours 15 minutes before 16:50?,14:50,"Does not subtract from the hours, when having to borrow for a time calculation",14:35,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 10 \\
\hline 2 & 3 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 8cm and perpendicular height 15cm.](),23cm²,Adds when calculating area instead of multiplying,120cm²,828
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 3 hours 20 minutes to complete a journey from London to Brighton. If the train leaves London at 10:10, what time does it arrive in Brighton?",13:10,Does not adjust the hour for “to” times,13:30,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=4x-3. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 5 \) \\
\end{tabular}]()",4,Mixes up the value of two terms when substituting,1,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),1,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 6 equal sections labelled 1, 2, 3, 4, 5 and 6.]()",1,Does not understand that a probability of 1 represents something that is certain,6,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.75 to a percentage,7.5%,Does not understand a percentage is out of 100,75%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.95 to a percentage,9.5%,Multiplies by 10 instead of 100 when converting decimal to percentage,95%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 1 hour 5 minutes before 11:30?,11:25,"Does not subtract from the hours, when having to borrow for a time calculation",10:25,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children.  What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 9 \\
\hline 1 & 6 \\
\hline 2 & 10 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,2,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 6cm and perpendicular height 14cm.](),20cm²,Adds when calculating area instead of multiplying,84cm²,828
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 2 hours 5 minutes to complete a journey from London to Brighton. If the train leaves London at 13:15, what time does it arrive in Brighton?",15:10,Does not adjust the hour for “to” times,15:20,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=6x-4. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 8 \) \\
\end{tabular}]()",6,Mixes up the value of two terms when substituting,2,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular pentagon](),1,Does not know how to find order of rotational symmetry,5,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 7 equal sections labelled 1, 2, 3, 4, 5, 6 and 7.]()",1,Does not understand that a probability of 1 represents something that is certain,7,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.5 to a percentage,5%,Does not understand a percentage is out of 100,50%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.35 to a percentage,3.5%,Multiplies by 10 instead of 100 when converting decimal to percentage,35%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 4 \\
\hline 1 & 10 \\
\hline 2 & 5 \\
\hline 3 & 6 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 5cm and perpendicular height 16cm.](),21cm²,Adds when calculating area instead of multiplying,80cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 35cm². What is the value of a? ![A trapezium with the parallel sides labelled with 5cm and a and the height labelled with 7cm](),10cm,Does not divide by 2 when calculating the area of a trapezium,5cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=2x+5. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 9 \) \\
\end{tabular}]()",2,Mixes up the value of two terms when substituting,7,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![An equilateral triangle](),1,Does not know how to find order of rotational symmetry,3,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 3 equal sections labelled 1, 2 and 3.]()",1,Does not understand that a probability of 1 represents something that is certain,3,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.45 to a percentage,4.5%,Does not understand a percentage is out of 100,45%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.6 to a percentage,6%,Multiplies by 10 instead of 100 when converting decimal to percentage,60%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 8 \\
\hline 1 & 6 \\
\hline 2 & 10 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 7cm and perpendicular height 9cm.](),16cm²,Adds when calculating area instead of multiplying,63cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 40cm². What is the value of a? ![A trapezium with the parallel sides labelled with 6cm and a and the height labelled with 8cm](),16cm,Does not divide by 2 when calculating the area of a trapezium,4cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=5x+1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",5,Mixes up the value of two terms when substituting,6,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A rhombus](),4,Does not know how to find order of rotational symmetry,2,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 10 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9 and 10.]()",1,Does not understand that a probability of 1 represents something that is certain,10,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.15 to a percentage,1.5%,Does not understand a percentage is out of 100,15%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.05 to a percentage,0.5%,Multiplies by 10 instead of 100 when converting decimal to percentage,5%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 1 hour 20 minutes before 10:00?,9:00,"Does not subtract from the hours, when having to borrow for a time calculation",8:40,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 8 \\
\hline 2 & 7 \\
\hline 3 & 4 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 11cm and perpendicular height 4cm.](),15cm²,Adds when calculating area instead of multiplying,44cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 24cm². What is the value of a? ![A trapezium with the parallel sides labelled with 4cm and a and the height labelled with 6cm](),8cm,Does not divide by 2 when calculating the area of a trapezium,4cm,2353
Solve problems involving adding a period of time on to a given start time,Time,"A train takes 2 hours 10 minutes to complete a journey from London to Brighton. If the train leaves London at 16:30, what time does it arrive in Brighton?",18:30,Does not adjust the hour for “to” times,18:40,685
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=3x-2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 4 \) \\
\end{tabular}]()",3,Mixes up the value of two terms when substituting,4,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular heptagon](),1,Does not know how to find order of rotational symmetry,7,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 9 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8 and 9.]()",1,Does not understand that a probability of 1 represents something that is certain,9,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.2 to a percentage,2%,Does not understand a percentage is out of 100,20%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.4 to a percentage,4%,Multiplies by 10 instead of 100 when converting decimal to percentage,40%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 5 \\
\hline 1 & 11 \\
\hline 2 & 4 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 12cm and perpendicular height 5cm.](),17cm²,Adds when calculating area instead of multiplying,60cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=7x-1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 13 \) \\
\end{tabular}]()",7,Mixes up the value of two terms when substituting,6,391
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 12 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11 and 12.]()",1,Does not understand that a probability of 1 represents something that is certain,12,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.85 to a percentage,8.5%,Does not understand a percentage is out of 100,85%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.12 to a percentage,1.2%,Multiplies by 10 instead of 100 when converting decimal to percentage,12%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 9 \\
\hline 2 & 4 \\
\hline 3 & 5 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 15cm and perpendicular height 4cm.](),19cm²,Adds when calculating area instead of multiplying,60cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 36cm². What is the value of a? ![A trapezium with the parallel sides labelled with 4cm and a and the height labelled with 9cm](),16cm,Does not divide by 2 when calculating the area of a trapezium,4cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=8x-5. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",8,Mixes up the value of two terms when substituting,3,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A kite](),2,Does not know how to find order of rotational symmetry,1,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 5 equal sections labelled 1, 2, 3, 4 and 5.]()",1,Does not understand that a probability of 1 represents something that is certain,5,1132
